layer,causeLabel,immediateCauseLabel,contributingFactorLabel,effectLabel,immediateCauseOfLabel,contributingFactorOfLabel,coords,survivors,injured,dead,placePicture,placeLabel,countryLabel,date,item,itemLabel
Less than 10 deaths,,,,,,,Point(33.503638888 39.835861111),,45 injured,4 dead,http://commons.wikimedia.org/wiki/Special:FilePath/K%C4%B1r%C4%B1kkale%20Fikret%20Karabudak%20Stadyumu2.JPG,Fikret Karabudak Stadium,Turkey,1969-06-25T00:00:00Z,http://www.wikidata.org/entity/Q6102762,Q6102762
Less than 10 deaths,,,,,,,,,42 injured,3 dead,,,,1888-07-31T00:00:00Z,http://www.wikidata.org/entity/Q48754354,Q48754354
Less than 10 deaths,,,,,,,Point(19.055872222 47.509577777),,14 injured,3 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Budapest%2C%20Hungary%20%28explored%29%20%2814995308504%29.jpg,Budapest,Hungary,2011-01-15T00:00:00Z,http://www.wikidata.org/entity/Q1323447,Q1323447
Less than 10 deaths,,,,,,,Point(7.68259 45.06773),,1527 injured,3 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Turin%20piazza%20san%20carlo%202009.JPG,Piazza San Carlo,Italy,2017-06-03T00:00:00Z,http://www.wikidata.org/entity/Q30126356,2017 Turin stampede
Less than 10 deaths,,,,,,,,,7 injured,1 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Pitakwa.jpg,Port Harcourt,Nigeria,2022-05-28T00:00:00Z,http://www.wikidata.org/entity/Q112162887,2022 Port Harcourt stampede
,,,,,,,,,,,,,,1954-01-01T00:00:00Z,http://www.wikidata.org/entity/Q4568077,1954 Kumbh Mela stampede
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q4591786,1996 Ujjain and Haridwar stampedes
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q4595062,1999 Sabarimala stampede
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q4614661,2009 Rabat stampede
,,,,,,,,,,,,,,2013-02-10T00:00:00Z,http://www.wikidata.org/entity/Q4629505,2013 Kumbh Mela stampede
,,,,,,,Point(100.525681 13.745521),,,,,,,,http://www.wikidata.org/entity/Q6431274,Kor Royal Cup stampede
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q6732999,Mahamaham stampede
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q6748023,Mandher Devi temple stampede
,,,,,,,Point(-4.426 55.851),,,,,,,,http://www.wikidata.org/entity/Q7125221,Paisley canal disaster
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q7426478,Satsanga Deoghar disaster
,,,,,,,Point(78.64194444 26.09277778),,,,,,,2013-10-13T00:00:00Z,http://www.wikidata.org/entity/Q15073008,2013 Madhya Pradesh stampede
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q15909407,1987 Shanghai Lujiazui Ferry Station Stampede
,,,,,,,Point(80.1969 12.0344),,,,,,,,http://www.wikidata.org/entity/Q16057235,2005 December Chennai Stampede
,,,,,,,Point(80.26 13.1097),,,,,,,,http://www.wikidata.org/entity/Q16057236,2005 November Chennai Stampede
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q19849526,1991 Taiyuan stampede
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q19849538,2004 Miyun stampede
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q20007245,Kwekwe stadium stampede
,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q61442783,2008 Bandung Human Stampede
